width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,time_elapsed,bonus,view_history,rt,load_time,stimulus,response,success,key_strokes,final_text,accuracy,question_order,wid
,,,,,,,,,,,instructions,4123,.25,"[{'page_index': 0, 'viewing_time': 2907}]",2909.0,,,,,,,,,wcb7d58b
,,,,,,,,,,,instructions,27065,.25,"[{'page_index': 0, 'viewing_time': 1607}]",1608.0,,,,,,,,,wcb7d58b
,,,,,,,,,,,instructions,192775,.25,"[{'page_index': 0, 'viewing_time': 2906}]",2908.0,,,,,,,,,wcb7d58b
,,,,,,,,,,,instructions,379117,.25,"[{'page_index': 0, 'viewing_time': 6168}]",6170.0,,,,,,,,,wcb7d58b
,,,,,,,,,,,instructions,4484,.50,"[{'page_index': 0, 'viewing_time': 3490}]",3490.0,,,,,,,,,w3ccd836
,,,,,,,,,,,instructions,12536,.50,"[{'page_index': 0, 'viewing_time': 1804}]",1804.0,,,,,,,,,w3ccd836
,,,,,,,,,,,instructions,190597,.50,"[{'page_index': 0, 'viewing_time': 7130}]",7131.0,,,,,,,,,w3ccd836
,,,,,,,,,,,instructions,396776,.50,"[{'page_index': 0, 'viewing_time': 14458}]",14460.0,,,,,,,,,w3ccd836
,,,,,,,,,,,instructions,11205,.50,"[{'page_index': 0, 'viewing_time': 10126}]",10126.0,,,,,,,,,w2c459ee
,,,,,,,,,,,instructions,19013,.50,"[{'page_index': 0, 'viewing_time': 1217}]",1217.0,,,,,,,,,w2c459ee
,,,,,,,,,,,instructions,160102,.50,"[{'page_index': 0, 'viewing_time': 1445}]",1446.0,,,,,,,,,w2c459ee
,,,,,,,,,,,instructions,334565,.50,"[{'page_index': 0, 'viewing_time': 1009}]",1010.0,,,,,,,,,w2c459ee
,,,,,,,,,,,instructions,6170,.50,"[{'page_index': 0, 'viewing_time': 5170}]",5171.0,,,,,,,,,waa2b5e3
,,,,,,,,,,,instructions,14006,.50,"[{'page_index': 0, 'viewing_time': 1277}]",1278.0,,,,,,,,,waa2b5e3
,,,,,,,,,,,instructions,142291,.50,"[{'page_index': 0, 'viewing_time': 1012}]",1012.0,,,,,,,,,waa2b5e3
,,,,,,,,,,,instructions,372360,.50,"[{'page_index': 0, 'viewing_time': 1342}]",1343.0,,,,,,,,,waa2b5e3
,,,,,,,,,,,instructions,2761,.50,"[{'page_index': 0, 'viewing_time': 1733}]",1733.0,,,,,,,,,wbd65b7f
,,,,,,,,,,,instructions,9457,.50,"[{'page_index': 0, 'viewing_time': 2072}]",2073.0,,,,,,,,,wbd65b7f
,,,,,,,,,,,instructions,108164,.50,"[{'page_index': 0, 'viewing_time': 1627}]",1628.0,,,,,,,,,wbd65b7f
,,,,,,,,,,,instructions,298652,.50,"[{'page_index': 0, 'viewing_time': 16809}]",16812.0,,,,,,,,,wbd65b7f
,,,,,,,,,,,instructions,2608,.50,"[{'page_index': 0, 'viewing_time': 1604}]",1606.0,,,,,,,,,wac47b86
,,,,,,,,,,,instructions,8256,.50,"[{'page_index': 0, 'viewing_time': 1347}]",1347.0,,,,,,,,,wac47b86
,,,,,,,,,,,instructions,143285,.50,"[{'page_index': 0, 'viewing_time': 11616}]",11619.0,,,,,,,,,wac47b86
,,,,,,,,,,,instructions,278489,.50,"[{'page_index': 0, 'viewing_time': 3076}]",3077.0,,,,,,,,,wac47b86
,,,,,,,,,,,instructions,3383,.25,"[{'page_index': 0, 'viewing_time': 2358}]",2358.0,,,,,,,,,w0c50539
,,,,,,,,,,,instructions,10491,.25,"[{'page_index': 0, 'viewing_time': 1866}]",1866.0,,,,,,,,,w0c50539
,,,,,,,,,,,instructions,155680,.25,"[{'page_index': 0, 'viewing_time': 1556}]",1557.0,,,,,,,,,w0c50539
,,,,,,,,,,,instructions,346831,.25,"[{'page_index': 0, 'viewing_time': 1857}]",1858.0,,,,,,,,,w0c50539
,,,,,,,,,,,instructions,2644,.25,"[{'page_index': 0, 'viewing_time': 1648}]",1649.0,,,,,,,,,wcdfdd8e
,,,,,,,,,,,instructions,8473,.25,"[{'page_index': 0, 'viewing_time': 1491}]",1491.0,,,,,,,,,wcdfdd8e
,,,,,,,,,,,instructions,265287,.25,"[{'page_index': 0, 'viewing_time': 2344}]",2345.0,,,,,,,,,wcdfdd8e
,,,,,,,,,,,instructions,512808,.25,"[{'page_index': 0, 'viewing_time': 4589}]",4592.0,,,,,,,,,wcdfdd8e
